id,title,review,score,sentiment
17998769,반지의 제왕: 왕의 귀환,"['판타지를', '넘어', '영화', '역사', '에', '남을', '명작이다.', '내가', '이걸', '왜', '극장에서', '못', '봤을까....', '폰으로', '봤을', '때의', '감동과는', '비교', '가', '안', '될', '텐데....']",10.0,
17998767,나일 강의 죽음,"['이집트', '여행하는', '느낌의', '영화']",8.0,
17998766,킹메이커,"['목포', '연설', '장면은', '넋을', '잃고', '보게', '된다', '.']",10.0,
17998765,기억의 밤,"['그저', '그렇', '네요.', '뻔한', '반전과', '결말.']",4.0,
17998764,더 배트맨,"['더', '배트맨', '조', '커처럼', '몰입감', '이', '있으면', '추천', '반대로', '지루하면', '비추천']",1.0,
17998763,인간중독,"['전', '올레tv로', '몇', '년', '전에', '재밌게', '봤다', '가', '방금', '소장용으로', '재구입하여', '또', '봤어요', '.', '전', '재밌게', '봤는데', '요..부인인', '조여정은', '송승헌의', '섹슈얼한', '이상형은', '아니', '었던', '것', '같아요', '.', '극중', '조여정과', '임지연', '은', '성격이', '나', '분위기', '가', '확', '다르죠.', '그리고', '봐보면', '극중', '임지연', '은', '겉으', '론', '조용하고', '청순해', '보여도', '은밀하게', '는', '과감하게', '그러나', '조용히', '끼를', '부립니다.', '속된', '말로,', '호박씨까는', '스타일이', '죠ㅋ', '그런', '스타일', '에', '꽂혔', '을', '수', '있고', '이상형인', '듯', '거의', '뭐', '첫눈에', '반한', '거에', '준해서', '빠져', '들어간', '것', '같네요.', '송승헌이', '임지연', '한테.', '저는', '꼭', '이', '이상의', '대단한', '사랑', '의', '동기?가', '있어야', '만', '납득', '가능하다고', '보진', '않네요.', '왜', '저렇게까지', '극중', '임지연', '을', '사랑하', '는가가', '포인트', '인', '게', '아니라', ',', '그냥', '송승헌은', '이미', '임지연', '이', '좋은', '거고,', '많이', '좋아하', '다', '보니', '저렇게까지', '다', '걸어', '버리는', '송승헌', '자체의', '캐릭터', '를', '저는', '감상한', '거죠.', '그리고', '이런', '러브스토리를', '기반으로', '했기에', '정사씬이', '참', '야하군여.', '크하하']",10.0,
17998761,은밀하게 위대하게,"['평범한', '나라', ',', '평범한', '가정,', '평범한', '아이', '로', '태어', '남에', '감사합니다', '.']",10.0,
17998760,인비저블 게스트,"['반전을', '거듭', '하는', '건', '좋은', '데', '마지막', '반전은', '좀', 's', 'f', '영화도', '아니', '고', '에바였지', '않나...']",7.0,
17998759,싸이보그지만 괜찮아,"['ㅠㅠ', '영화', '관에서', '잠든', '유일한', '영화', '..']",2.0,
17998758,폭격,"['생각', '보다', '흡입력', '있고', '지루하지', '않고', '볼만하다']",8.0,
